order_id,customer_name,order_date,category,sub_category,price,region,city,qty
OD33,Akash,2016-09-17,Oil & Masala,Edible Oil & Ghee,1492.47,East,Trichy,840
OD34,Anu,2016-09-17,Oil & Masala,Masalas,1351.2,East,Madurai,423
OD35,Anu,2018-10-19,Beverages,Health Drinks,728.1,Central,Vellore,316
OD36,Sabeela,2017-12-08,"Eggs, Meat & Fish",Eggs,695.75,Central,Tirunelveli,764
OD37,James,2017-12-08,Beverages,Soft Drinks,877.96,Central,Salem,689
OD38,Willams,2016-12-27,Fruits & Veggies,Organic Vegetables,907.18,Central,Ramanadhapuram,97
OD39,Jonas,2016-12-27,Fruits & Veggies,Fresh Fruits,1470.84,Central,Chennai,400
OD40,Sabeela,2016-12-27,"Eggs, Meat & Fish",Chicken,1165.65,Central,Cumbum,276
OD41,Malik,2016-12-27,Beverages,Health Drinks,567.6,Central,Namakkal,533
OD42,Arutra,2018-09-10,Beverages,Soft Drinks,1251.56,Central,Salem,848
OD43,Sharon,2017-07-17,Snacks,Cookies,671.22,West,Bodi,695
OD44,Mathew,2018-09-19,Snacks,Cookies,1271.05,South,Dharmapuri,921
OD45,Amrish,2017-03-11,Bakery,Biscuits,931.28,Central,Krishnagiri,742
OD46,Vince,2017-03-11,"Eggs, Meat & Fish",Eggs,1065.0,Central,Madurai,349
OD47,Suresh,2015-10-20,Fruits & Veggies,Organic Vegetables,905.6,Central,Nagercoil,649
OD48,Mathew,2017-06-20,Snacks,Noodles,877.92,East,Chennai,630
OD49,Ridhesh,2017-06-20,Snacks,Noodles,682.44,East,Pudukottai,916
OD50,Amrish,2016-04-18,Bakery,Cakes,843.53,Central,Ooty,434
OD51,Esther,2016-04-18,Beverages,Soft Drinks,748.66,Central,Salem,838
OD52,Shah,2016-04-18,Beverages,Soft Drinks,1752.56,Central,Salem,234
OD53,Sudha,2016-04-18,Bakery,Cakes,1317.81,Central,Theni,180
OD54,Yusuf,2017-12-11,Fruits & Veggies,Fresh Vegetables,445.17,East,Madurai,46
OD55,Esther,2017-12-11,Fruits & Veggies,Organic Fruits,699.2,East,Nagercoil,40
OD56,Muneer,2017-06-17,Food Grains,Atta & Flour,1739.0,East,Salem,270
OD57,Komal,2017-06-17,"Eggs, Meat & Fish",Fish,907.83,East,Krishnagiri,702
OD58,Veena,2017-06-17,Food Grains,Dals & Pulses,1429.12,East,Trichy,107
OD59,Sharon,2017-06-17,"Eggs, Meat & Fish",Mutton,894.88,East,Trichy,741
OD60,Shree,2017-06-17,Beverages,Health Drinks,1442.28,East,Coimbatore,622
OD61,Roshan,2017-06-17,Oil & Masala,Masalas,1156.68,East,Virudhunagar,325
OD62,Willams,2017-06-17,Snacks,Noodles,416.54,East,Perambalur,849
OD63,Sudeep,2016-11-24,"Eggs, Meat & Fish",Fish,736.8,West,Dharmapuri,296
OD64,Yusuf,2016-11-24,Fruits & Veggies,Fresh Fruits,1079.42,West,Trichy,217
OD65,Willams,2016-11-24,"Eggs, Meat & Fish",Eggs,406.69,West,Madurai,556
OD66,Muneer,2016-11-24,"Eggs, Meat & Fish",Mutton,1057.92,West,Tirunelveli,543
OD67,Vinne,2016-04-30,Food Grains,Atta & Flour,984.96,Central,Madurai,792
OD68,Roshan,2015-12-05,Fruits & Veggies,Fresh Vegetables,649.6,West,Pudukottai,317
OD69,Ramesh,2015-12-05,Food Grains,Atta & Flour,1216.36,West,Viluppuram,26
OD70,Peer,2017-06-04,Oil & Masala,Masalas,677.6,South,Ooty,822
OD71,Verma,2017-09-18,"Eggs, Meat & Fish",Mutton,636.1600000000001,East,Kanyakumari,425
OD72,Yusuf,2018-09-14,Snacks,Noodles,1456.12,Central,Kanyakumari,536
OD73,Alan,2016-04-26,Snacks,Cookies,620.06,South,Theni,117
OD74,Vidya,2016-04-26,Fruits & Veggies,Organic Vegetables,1900.0,South,Vellore,391
OD75,Arvind,2016-04-26,Beverages,Soft Drinks,1847.1,South,Vellore,857
OD76,Veronica,2018-12-09,Beverages,Soft Drinks,1295.43,Central,Bodi,255
OD77,Arvind,2018-12-09,Fruits & Veggies,Organic Fruits,1175.0,Central,Ooty,965
OD78,Anu,2018-12-09,Snacks,Noodles,869.12,Central,Coimbatore,605
OD79,Haseena,2015-11-26,Snacks,Cookies,654.29,Central,Vellore,572
OD80,Veena,2017-06-12,Fruits & Veggies,Organic Fruits,1681.19,South,Chennai,591
OD81,Kumar,2017-06-12,Beverages,Health Drinks,1114.85,South,Kanyakumari,776
OD82,Amy,2015-10-12,Food Grains,Atta & Flour,973.84,West,Bodi,368
OD83,Komal,2015-10-12,Oil & Masala,Spices,762.3,West,Cumbum,31
OD84,Ravi,2016-09-03,Beverages,Soft Drinks,1671.34,South,Dharmapuri,986
OD85,Amy,2018-11-13,Fruits & Veggies,Organic Fruits,699.48,Central,Bodi,913
OD86,Willams,2018-05-28,Oil & Masala,Spices,1469.01,South,Dindigul,83
OD87,Sharon,2018-10-26,Food Grains,Rice,1143.35,Central,Theni,630
OD88,Ramesh,2018-10-26,"Eggs, Meat & Fish",Eggs,997.8,Central,Viluppuram,336
OD89,Sheeba,2017-04-05,Bakery,Breads & Buns,1921.01,Central,Perambalur,178
OD90,Krithika,2017-09-17,Food Grains,Dals & Pulses,1427.28,West,Madurai,939
OD91,Willams,2017-09-17,"Eggs, Meat & Fish",Chicken,722.86,West,Ooty,168
OD92,Roshan,2017-09-17,Beverages,Health Drinks,831.47,West,Virudhunagar,238
OD93,Ravi,2016-01-31,Food Grains,Atta & Flour,1744.96,Central,Madurai,684
OD94,Ram,2016-01-31,Fruits & Veggies,Fresh Fruits,1986.16,Central,Namakkal,84
OD95,Mathew,2016-01-31,Snacks,Chocolates,1066.55,Central,Bodi,253
OD96,Veena,2018-11-06,"Eggs, Meat & Fish",Fish,787.2,West,Virudhunagar,167
OD97,Sudha,2018-11-09,Food Grains,Atta & Flour,1132.16,East,Ooty,217
OD98,Sharon,2018-06-17,Fruits & Veggies,Fresh Fruits,419.65,West,Trichy,50
OD99,Vince,2017-09-06,Snacks,Chocolates,1909.83,Central,Dharmapuri,296
OD100,Krithika,2017-08-29,Oil & Masala,Spices,944.0,Central,Chennai,64
OD101,Adavan,2017-08-29,Bakery,Cakes,1207.26,Central,Coimbatore,15
OD102,Roshan,2017-08-29,Beverages,Soft Drinks,855.12,Central,Coimbatore,234
OD103,Vinne,2017-12-01,Snacks,Chocolates,391.23,Central,Nagercoil,126
OD104,Amy,2016-11-13,Fruits & Veggies,Fresh Fruits,784.89,West,Ramanadhapuram,800
OD105,Suresh,2016-11-13,Food Grains,Dals & Pulses,1265.0,West,Karur,956
OD106,Komal,2016-11-13,Oil & Masala,Masalas,1496.25,West,Kanyakumari,283
OD107,Sundar,2018-11-23,Beverages,Health Drinks,432.0,South,Cumbum,884
OD108,Willams,2018-11-23,Snacks,Cookies,359.12,South,Tirunelveli,800
OD109,Vidya,2018-11-23,"Eggs, Meat & Fish",Eggs,400.32,South,Tirunelveli,15
OD110,Shree,2016-10-15,Fruits & Veggies,Fresh Fruits,907.83,Central,Coimbatore,570
OD111,Sundar,2018-12-25,Food Grains,Dals & Pulses,981.42,East,Namakkal,18
OD112,Arvind,2017-11-03,Bakery,Breads & Buns,2109.0,Central,Pudukottai,805
OD113,Ravi,2017-11-03,Oil & Masala,Edible Oil & Ghee,1573.15,Central,Dindigul,19
OD114,Vinne,2015-08-25,Fruits & Veggies,Fresh Vegetables,1084.76,East,Krishnagiri,137
OD115,Muneer,2015-08-25,Snacks,Noodles,2178.0,East,Salem,420
OD116,Rumaiza,2015-08-25,Snacks,Chocolates,1017.9,East,Karur,95
OD117,Hussain,2015-08-25,Fruits & Veggies,Organic Fruits,769.41,East,Bodi,410
OD118,Arvind,2016-03-02,Fruits & Veggies,Organic Vegetables,796.23,West,Viluppuram,101
OD119,Akash,2016-04-05,Food Grains,Rice,812.7,South,Chennai,195
OD120,Ganesh,2017-06-12,"Eggs, Meat & Fish",Chicken,1160.9,East,Cumbum,601
OD121,Alan,2017-06-12,Fruits & Veggies,Organic Vegetables,1068.98,East,Tirunelveli,116
OD122,Harish,2017-06-12,Bakery,Cakes,447.81,East,Krishnagiri,168
OD123,Veronica,2017-06-12,"Eggs, Meat & Fish",Mutton,2165.68,East,Tenkasi,908
OD124,Anu,2017-06-12,Beverages,Soft Drinks,1255.41,East,Cumbum,603
OD125,Sudeep,2015-12-26,Bakery,Breads & Buns,585.0,Central,Madurai,92
OD126,Yusuf,2015-09-20,Fruits & Veggies,Organic Vegetables,817.88,Central,Virudhunagar,473
OD127,Shah,2018-11-05,"Eggs, Meat & Fish",Mutton,1481.76,West,Karur,798
OD128,Harish,2018-11-05,Oil & Masala,Spices,956.82,West,Tirunelveli,191
OD129,Sharon,2017-11-06,Food Grains,Rice,860.22,West,Bodi,750
OD130,Peer,2017-11-06,Food Grains,Atta & Flour,1674.93,West,Coimbatore,943
OD131,Haseena,2018-02-02,Snacks,Chocolates,844.87,East,Tenkasi,705
OD132,Sundar,2018-02-02,Beverages,Soft Drinks,2006.4,East,Nagercoil,738
OD133,Ram,2018-02-02,"Eggs, Meat & Fish",Fish,499.2,East,Ramanadhapuram,744
OD134,Shah,2017-10-13,Bakery,Cakes,1342.98,West,Tenkasi,410
OD135,Harish,2017-10-13,Beverages,Health Drinks,1708.56,West,Ramanadhapuram,339
OD136,Veena,2017-10-13,Fruits & Veggies,Organic Fruits,915.2,West,Cumbum,925
OD137,Sundar,2017-10-13,Oil & Masala,Spices,1198.72,West,Viluppuram,812
OD138,Jackson,2017-10-13,"Eggs, Meat & Fish",Eggs,537.54,West,Theni,959
OD139,Malik,2017-10-13,Snacks,Noodles,616.56,West,Theni,680
OD140,Hussain,2017-10-13,"Eggs, Meat & Fish",Mutton,663.6800000000001,West,Ooty,19
OD141,Veena,2017-09-05,Bakery,Biscuits,484.96,East,Perambalur,900
OD142,Aditi,2018-09-18,Oil & Masala,Masalas,2259.53,West,Tirunelveli,982
OD143,Surya,2018-09-18,Food Grains,Atta & Flour,1041.3,West,Kanyakumari,185
OD144,Sharon,2018-09-18,"Eggs, Meat & Fish",Fish,512.55,West,Tenkasi,311
OD145,Vinne,2018-12-22,"Eggs, Meat & Fish",Mutton,1778.22,Central,Tenkasi,997
OD146,Malik,2016-09-07,Oil & Masala,Edible Oil & Ghee,977.13,West,Coimbatore,371
OD147,Ridhesh,2015-10-22,Food Grains,Organic Staples,1376.32,East,Theni,863
OD148,Harish,2017-12-05,Fruits & Veggies,Fresh Vegetables,832.5,Central,Tirunelveli,22
OD149,Veronica,2017-12-05,Beverages,Health Drinks,583.6800000000001,Central,Tenkasi,75
OD150,Ravi,2017-12-05,"Eggs, Meat & Fish",Fish,1250.55,Central,Vellore,573
OD151,Muneer,2017-12-05,Food Grains,Rice,1257.85,Central,Bodi,429
OD152,Jackson,2017-03-13,Snacks,Chocolates,680.72,West,Pudukottai,575
OD153,Amy,2017-03-13,Snacks,Cookies,775.3199999999999,West,Namakkal,436
OD154,Ram,2016-05-31,Food Grains,Organic Staples,998.73,West,Ramanadhapuram,279
OD155,Jonas,2016-05-31,Snacks,Noodles,1609.92,West,Pudukottai,658
OD156,Ramesh,2016-05-31,Fruits & Veggies,Fresh Vegetables,1378.44,West,Viluppuram,55
OD157,Peer,2016-05-28,Snacks,Cookies,657.26,West,Coimbatore,496
OD158,Komal,2015-03-01,Oil & Masala,Edible Oil & Ghee,1153.1,West,Salem,294
OD159,Amy,2017-11-20,Beverages,Soft Drinks,1323.84,Central,Karur,921
OD160,Amrish,2017-11-20,Food Grains,Dals & Pulses,1338.3,Central,Madurai,716
OD161,Yadav,2017-05-11,Beverages,Soft Drinks,520.49,West,Ooty,365
OD162,Vinne,2016-12-28,"Eggs, Meat & Fish",Fish,456.94,East,Kanyakumari,717
OD163,Amrish,2017-11-16,Snacks,Chocolates,662.64,West,Trichy,804
OD164,Hussain,2017-11-07,Snacks,Cookies,1394.72,West,Theni,245
OD165,Haseena,2015-09-08,Food Grains,Atta & Flour,836.36,Central,Ramanadhapuram,902
OD166,Sudha,2015-09-08,Beverages,Health Drinks,1267.5,Central,Madurai,482
OD167,Adavan,2015-09-08,Snacks,Chocolates,1677.43,Central,Bodi,85
OD168,Aditi,2015-09-08,"Eggs, Meat & Fish",Mutton,1848.6,Central,Ooty,559
OD169,Krithika,2015-09-08,Oil & Masala,Spices,528.75,Central,Viluppuram,801
OD170,Sharon,2015-09-08,"Eggs, Meat & Fish",Chicken,1154.25,Central,Trichy,681
OD171,Akash,2015-09-08,Food Grains,Dals & Pulses,314.64,Central,Krishnagiri,23
OD172,Sabeela,2015-08-05,Beverages,Health Drinks,847.2,West,Tirunelveli,884
OD173,Surya,2015-08-05,Food Grains,Dals & Pulses,640.71,West,Tirunelveli,456
OD174,Alan,2015-08-05,Fruits & Veggies,Organic Vegetables,2055.08,West,Viluppuram,400
OD175,Aditi,2015-09-14,Fruits & Veggies,Fresh Vegetables,1275.31,Central,Karur,836
OD176,Shah,2015-09-14,Fruits & Veggies,Organic Fruits,1124.61,Central,Pudukottai,572
OD177,Mathew,2018-04-21,Oil & Masala,Spices,1478.25,Central,Krishnagiri,701
OD178,Rumaiza,2016-11-21,Snacks,Noodles,792.48,East,Vellore,13
OD179,Arvind,2016-11-21,Fruits & Veggies,Organic Fruits,633.88,East,Trichy,521
OD180,Krithika,2016-12-15,Food Grains,Atta & Flour,978.28,East,Karur,238
OD181,Arvind,2015-12-05,Snacks,Cookies,1171.65,Central,Bodi,96
OD182,Ravi,2015-12-05,Beverages,Health Drinks,1546.2,Central,Namakkal,381
OD183,Jonas,2015-11-19,Oil & Masala,Edible Oil & Ghee,1393.28,South,Madurai,465
OD184,Surya,2015-11-19,Food Grains,Organic Staples,341.02,South,Cumbum,827
OD185,Amrish,2015-11-19,Food Grains,Dals & Pulses,586.5,South,Dindigul,688
OD186,Shah,2017-11-28,Snacks,Noodles,1290.84,East,Chennai,292
OD187,Krithika,2015-08-26,Bakery,Cakes,1471.6,West,Cumbum,460
OD188,Anu,2017-07-16,Beverages,Soft Drinks,674.79,Central,Pudukottai,876
OD189,Yusuf,2017-07-16,Fruits & Veggies,Organic Fruits,1450.8,Central,Madurai,624
OD190,Rumaiza,2016-10-12,Beverages,Soft Drinks,960.11,East,Vellore,554
OD191,Amrish,2016-10-12,Fruits & Veggies,Organic Fruits,1758.12,East,Chennai,558
OD192,Muneer,2016-10-12,Fruits & Veggies,Fresh Vegetables,1525.79,East,Chennai,356
OD193,Anu,2016-10-12,Beverages,Health Drinks,1557.88,East,Dharmapuri,968
OD194,Suresh,2016-10-12,Oil & Masala,Masalas,1627.4,East,Dharmapuri,974
OD195,Peer,2016-10-31,"Eggs, Meat & Fish",Eggs,834.25,West,Tirunelveli,184
OD196,Sundar,2015-03-21,Oil & Masala,Edible Oil & Ghee,814.86,East,Theni,341
OD197,Sudeep,2015-03-21,Bakery,Breads & Buns,1028.57,East,Karur,683
OD198,Verma,2018-11-06,Food Grains,Organic Staples,575.8199999999999,East,Pudukottai,533
OD199,Surya,2018-07-06,"Eggs, Meat & Fish",Mutton,824.72,East,Tirunelveli,6
OD200,Sudha,2018-07-06,"Eggs, Meat & Fish",Eggs,511.5,East,Trichy,692
OD201,James,2018-06-24,Food Grains,Organic Staples,1494.68,East,Tirunelveli,315
OD202,Vidya,2015-08-03,Bakery,Cakes,1936.8,West,Salem,879
OD203,Jackson,2015-08-03,Food Grains,Organic Staples,1840.9,West,Ramanadhapuram,217
OD204,Akash,2018-12-17,Oil & Masala,Masalas,600.3199999999999,Central,Vellore,186
OD205,Ram,2018-06-03,Oil & Masala,Spices,847.06,South,Virudhunagar,406
OD206,Vinne,2018-12-09,"Eggs, Meat & Fish",Mutton,1858.14,West,Madurai,56
OD207,Verma,2018-12-01,"Eggs, Meat & Fish",Chicken,822.64,Central,Perambalur,653
OD208,Haseena,2018-12-01,"Eggs, Meat & Fish",Eggs,1538.19,Central,Ramanadhapuram,125
OD209,Esther,2018-12-01,"Eggs, Meat & Fish",Mutton,2040.42,Central,Pudukottai,44
OD210,Amrish,2018-12-01,Beverages,Soft Drinks,1437.08,Central,Vellore,726
OD211,Hafiz,2018-12-01,Fruits & Veggies,Organic Vegetables,401.94,Central,Kanyakumari,762
OD212,Verma,2016-02-09,"Eggs, Meat & Fish",Chicken,1929.46,Central,Trichy,836
OD213,Peer,2016-01-02,Beverages,Soft Drinks,1320.53,East,Salem,3
OD214,Arutra,2016-01-02,Food Grains,Rice,825.33,East,Krishnagiri,992
OD215,Jonas,2016-01-02,Beverages,Health Drinks,938.4,East,Namakkal,909
OD216,Harish,2016-01-02,Snacks,Noodles,1184.94,East,Ramanadhapuram,789
OD217,Sundar,2016-01-02,Food Grains,Rice,1299.75,East,Krishnagiri,86
OD218,Suresh,2017-10-28,Oil & Masala,Masalas,1851.55,West,Tirunelveli,984
OD219,Sabeela,2017-10-28,Fruits & Veggies,Organic Fruits,1491.84,West,Virudhunagar,524
OD220,Arvind,2016-12-24,Fruits & Veggies,Fresh Vegetables,1624.7,East,Pudukottai,613
OD221,Ramesh,2016-12-24,Food Grains,Dals & Pulses,1144.6,East,Madurai,697
OD222,Willams,2016-12-24,"Eggs, Meat & Fish",Fish,918.63,East,Vellore,935
OD223,Ramesh,2016-12-24,"Eggs, Meat & Fish",Fish,1168.83,East,Madurai,321
OD224,Yadav,2016-12-24,Beverages,Soft Drinks,1113.2,East,Perambalur,494
OD225,Krithika,2016-12-24,"Eggs, Meat & Fish",Chicken,1604.3200000000002,East,Viluppuram,134
OD226,Verma,2016-08-09,"Eggs, Meat & Fish",Chicken,447.12,Central,Tirunelveli,972
OD227,Komal,2016-08-09,Food Grains,Organic Staples,934.8,Central,Madurai,137
OD228,Harish,2016-08-09,Snacks,Cookies,319.2,Central,Salem,955
OD229,Sudha,2016-02-28,Oil & Masala,Edible Oil & Ghee,1003.08,South,Tenkasi,700
OD230,Ramesh,2016-02-28,Beverages,Health Drinks,1092.96,South,Tenkasi,372
OD231,Arvind,2015-09-13,Bakery,Breads & Buns,673.98,South,Krishnagiri,174
OD232,Komal,2018-04-07,Beverages,Soft Drinks,1036.0,South,Namakkal,809
OD233,Komal,2018-04-07,Food Grains,Dals & Pulses,578.2,South,Salem,560
OD234,Ramesh,2018-04-07,Snacks,Cookies,1569.1,South,Ooty,644
OD235,Mathew,2018-04-07,Beverages,Soft Drinks,1492.85,South,Viluppuram,463
OD236,Vince,2018-04-07,Fruits & Veggies,Organic Fruits,1209.63,South,Nagercoil,606
OD237,Shah,2018-11-12,Bakery,Cakes,403.0,West,Bodi,450
OD238,Ravi,2017-06-04,Bakery,Breads & Buns,1946.7,Central,Ramanadhapuram,353
OD239,Adavan,2017-06-04,Fruits & Veggies,Organic Vegetables,962.65,Central,Bodi,511
OD240,Arvind,2017-06-04,Snacks,Cookies,2367.4,Central,Trichy,803
OD241,Ramesh,2017-06-04,Bakery,Cakes,538.72,Central,Nagercoil,361
OD242,Malik,2017-06-04,Beverages,Health Drinks,1217.2,Central,Coimbatore,305
OD243,Muneer,2017-06-04,Oil & Masala,Edible Oil & Ghee,444.55,Central,Virudhunagar,31
OD244,Amy,2017-06-04,Oil & Masala,Masalas,893.2,Central,Chennai,814
OD245,Roshan,2015-06-01,Bakery,Biscuits,490.2,Central,Coimbatore,44
OD246,Vinne,2015-06-01,"Eggs, Meat & Fish",Fish,2092.7,Central,Kanyakumari,606
OD247,Sudeep,2015-06-01,Fruits & Veggies,Organic Fruits,673.4,Central,Perambalur,893
OD248,Ridhesh,2015-06-01,Beverages,Health Drinks,478.82,Central,Cumbum,513
OD249,Ravi,2015-06-01,Snacks,Cookies,1073.64,Central,Ooty,635
OD250,James,2017-12-10,Beverages,Health Drinks,1173.15,West,Vellore,922
OD251,Mathew,2017-09-11,Beverages,Health Drinks,1238.16,West,Tirunelveli,340
OD252,Amrish,2017-09-11,Beverages,Health Drinks,403.56,West,Dindigul,199
OD253,Ramesh,2017-12-10,Food Grains,Rice,1132.16,East,Pudukottai,35
OD254,Surya,2017-12-10,Fruits & Veggies,Organic Vegetables,1194.15,East,Pudukottai,559
OD255,Veronica,2016-11-28,Food Grains,Rice,1728.09,Central,Ramanadhapuram,158
OD256,Harish,2016-11-28,Fruits & Veggies,Fresh Fruits,1311.72,Central,Tirunelveli,176
OD257,Ravi,2016-11-28,Beverages,Soft Drinks,1426.03,Central,Ooty,850
OD258,Sundar,2016-11-28,"Eggs, Meat & Fish",Mutton,966.81,Central,Chennai,697
OD259,Esther,2018-12-01,Beverages,Soft Drinks,369.6,East,Dharmapuri,75
OD260,Shree,2018-12-01,Bakery,Breads & Buns,1754.62,East,Salem,842
OD261,Sabeela,2018-12-01,Oil & Masala,Masalas,1214.1,East,Tenkasi,916
OD262,Ravi,2018-06-08,Food Grains,Organic Staples,650.25,Central,Krishnagiri,960
OD263,Roshan,2015-09-19,Food Grains,Organic Staples,792.12,Central,Kanyakumari,153
OD264,Vince,2015-09-19,Beverages,Soft Drinks,1560.6,Central,Theni,756
OD265,Jonas,2017-06-06,"Eggs, Meat & Fish",Fish,780.0,Central,Cumbum,222
OD266,Harish,2016-11-10,Fruits & Veggies,Organic Vegetables,910.26,West,Tirunelveli,119
OD267,Shah,2018-06-16,"Eggs, Meat & Fish",Chicken,556.8,South,Perambalur,836
OD268,Arvind,2017-01-22,Oil & Masala,Masalas,2075.0,East,Virudhunagar,973
OD269,Adavan,2018-12-09,Bakery,Cakes,1326.16,East,Dharmapuri,448
OD270,Suresh,2018-12-09,Beverages,Soft Drinks,999.44,East,Namakkal,899
OD271,Esther,2018-12-28,Snacks,Noodles,603.56,West,Theni,566
OD272,Krithika,2016-07-30,Snacks,Noodles,601.12,West,Tenkasi,162
OD273,Muneer,2016-07-30,Fruits & Veggies,Organic Fruits,1661.24,West,Viluppuram,398
OD274,Hafiz,2016-07-30,Bakery,Cakes,1009.36,West,Vellore,130
OD275,Krithika,2018-09-16,Fruits & Veggies,Organic Vegetables,1405.26,West,Coimbatore,954
OD276,Amrish,2018-09-16,Bakery,Cakes,677.04,West,Pudukottai,828
OD277,Shah,2018-10-13,"Eggs, Meat & Fish",Fish,527.8,East,Ramanadhapuram,44
OD278,Ram,2018-10-13,Oil & Masala,Masalas,724.08,East,Virudhunagar,815
OD279,Arutra,2018-10-13,Snacks,Chocolates,774.53,East,Virudhunagar,36
OD280,Sabeela,2018-10-13,Fruits & Veggies,Fresh Vegetables,1844.7,East,Pudukottai,262
OD281,Vidya,2016-09-26,Snacks,Chocolates,966.28,Central,Karur,705
OD282,Roshan,2016-09-26,Fruits & Veggies,Organic Vegetables,1153.45,Central,Perambalur,386
OD283,Sheeba,2016-11-02,Beverages,Soft Drinks,573.99,West,Chennai,20
OD284,Amrish,2016-09-26,Bakery,Biscuits,1405.04,West,Kanyakumari,366
OD285,Kumar,2016-09-26,Fruits & Veggies,Organic Vegetables,937.57,West,Salem,106
OD286,Ridhesh,2016-09-26,Bakery,Breads & Buns,1361.7,West,Ooty,873
OD287,Hafiz,2017-12-18,Oil & Masala,Spices,1722.0,South,Tirunelveli,746
OD288,Sudha,2017-12-18,Snacks,Noodles,546.56,South,Cumbum,525
OD289,Suresh,2017-12-18,Fruits & Veggies,Organic Fruits,807.38,South,Coimbatore,62
OD290,Jonas,2017-11-20,Bakery,Biscuits,920.35,East,Tirunelveli,951
OD291,Jonas,2017-11-20,Food Grains,Rice,746.4,East,Chennai,179
OD292,Amrish,2017-11-20,Fruits & Veggies,Organic Fruits,1573.68,East,Madurai,330
OD293,Sheeba,2017-11-20,"Eggs, Meat & Fish",Eggs,1158.68,East,Ooty,956
OD294,Ram,2015-12-26,Snacks,Chocolates,585.81,West,Ramanadhapuram,399
OD295,Sheeba,2015-12-26,Oil & Masala,Masalas,1940.64,West,Dharmapuri,781
OD296,Muneer,2015-12-26,Food Grains,Rice,655.2,West,Dharmapuri,597
OD297,Aditi,2015-12-26,Oil & Masala,Edible Oil & Ghee,1292.2,West,Krishnagiri,822
OD298,Roshan,2015-12-26,Oil & Masala,Masalas,1338.92,West,Bodi,31
OD299,Sundar,2017-10-28,Food Grains,Organic Staples,1266.16,East,Virudhunagar,91
OD300,Sudha,2017-10-28,"Eggs, Meat & Fish",Mutton,1488.19,East,Namakkal,932
OD301,Haseena,2017-10-28,Bakery,Breads & Buns,547.4,East,Ooty,530
OD302,Willams,2017-10-28,Oil & Masala,Edible Oil & Ghee,937.71,East,Viluppuram,467
OD303,Veronica,2017-10-28,Bakery,Breads & Buns,870.24,East,Dharmapuri,459
OD304,Muneer,2018-11-19,Snacks,Cookies,1797.4,Central,Tenkasi,167
OD305,Anu,2016-05-04,Oil & Masala,Edible Oil & Ghee,633.0799999999999,East,Kanyakumari,527
